year,value,total_return,max_drawdown,total_trades,win_rate,profit_factor,sharpe_ratio,avg_winning_trade,avg_losing_trade,best_trade,worst_trade
2011,0,441.2091695655102,82.20745559565727,48,31.914893617021278,2.934813226152563,1.7043189821975562,39.71539498211229,-8.244516687851497,125.37637775824741,-42.10831078892018
2011,1,143.58237851413307,89.55098162989317,63,24.193548387096776,1.6211666100209132,1.240466303743034,44.02970195988199,-7.947248505951002,131.05146643862818,-42.108610646075704
2011,2,220.97396674979902,88.79650792935244,57,26.785714285714285,1.948775253614903,1.396129576750842,43.466127468052576,-8.325644236469158,131.0522935781974,-42.108610646075704
2011,3,602.9506233765002,74.57727416737198,54,30.18867924528302,2.9277983979593367,1.8385171151839714,40.30797153683295,-7.477373786592806,132.68444548948418,-31.253242433811053
2011,4,369.3791634641086,83.50816604661304,48,31.914893617021278,2.5667861769018385,1.6145852168681445,41.36295253876627,-9.095668100322627,126.34035242268067,-42.10815144390093
2011,5,609.186592151142,75.19115790930206,48,31.914893617021278,2.764864802904602,1.8530631777005524,42.47165683269985,-8.237770860957019,135.32595342796233,-42.10815144390093
2011,6,400.8347394068785,81.66797141257778,49,33.33333333333333,2.464135263624565,1.6528226117556841,39.43042106931849,-8.986364283745957,135.32541191497242,-42.108254420123295
2011,7,288.14466806208003,84.4674103599074,49,29.166666666666668,2.007925128841135,1.5068172586396078,45.15444864300071,-9.080030131272332,135.32529794359132,-42.10825875616924
2011,8,303.8885184542456,85.45083035495024,51,30.0,2.2225415060815945,1.5281594532049438,43.04354604925391,-8.961453040201047,135.32510560338937,-42.10852912101103
2011,9,348.2159226580049,85.70226638561509,51,32.0,2.730949122453901,1.5882465643476436,39.42436162399854,-8.754671432771415,131.68774701353422,-42.10854312146108
2011,10,275.4149428176723,86.96196290491635,52,31.372549019607842,2.2598617014818436,1.4864582650658622,38.19066356049685,-8.744181915657265,122.642117104851,-42.10854312146108
2011,11,181.075887344497,89.11837510133019,53,28.846153846153843,1.8846895672904778,1.319761228511965,40.63975769721908,-8.958092450203502,122.6413855328945,-42.10854312146108
2011,12,252.66529838134758,84.29172243930778,51,26.0,1.8273539397242724,1.4491630510240732,47.06185569719216,-8.491836054060853,122.64234920655477,-42.10854312146108
2011,13,303.35267745412256,83.02435606347149,50,28.57142857142857,2.0612606975781786,1.5292527868966532,43.52636352266789,-8.564876991400453,122.64251914555481,-42.10831078892018
2011,14,376.8690369283238,80.54396530347539,51,30.0,2.1945896005330843,1.6262437616886027,40.913707008775354,-8.229048138071292,122.642779008725,-42.10831078892018
2011,15,417.0125516791586,79.59099300290706,50,30.612244897959183,2.323522088668761,1.6743495485542552,40.75320802252484,-8.206513854905005,122.64284239537011,-42.10831078892018
2011,16,360.3733192705507,80.13204810395324,50,30.612244897959183,2.1769157347128245,1.6061687537887948,39.939178938576774,-8.28298547596713,122.64270908725423,-42.10831078892018
2011,17,397.9897256730582,80.45388664963214,48,31.914893617021278,2.305798486569421,1.6520673956850216,40.05504510192811,-8.605297341697092,122.64277879293397,-42.10831078892018
2011,18,394.1387068060989,78.9742636114139,49,33.33333333333333,2.249957461836319,1.6479976646654044,37.48590776988864,-8.605940709158702,122.64278896217303,-42.10831078892018
2011,19,317.99867397508723,80.86400527215567,49,31.25,2.1095005831331655,1.5501780625629926,39.446598071346415,-8.60158887139806,122.64256273794967,-42.10831078892018
2011,20,441.2091695655102,82.20745559565727,48,31.914893617021278,2.934813226152563,1.7043189821975562,39.71539498211229,-8.244516687851497,125.37637775824741,-42.10831078892018
2011,21,360.2540894539666,83.26107311252716,50,30.612244897959183,2.659941297174338,1.6068085243506836,40.107356930482005,-8.248387899151927,131.05314699009807,-42.10831078892018
2011,22,391.3588358568661,81.84361270471608,49,31.25,2.6339675217710785,1.6459107495278253,40.359803025458234,-8.369246238480974,132.68406588258307,-42.10831078892018
2011,23,408.52653341744264,81.82973412832993,50,30.612244897959183,2.7811593531876695,1.666222087917438,40.52991320441699,-8.07574893384866,133.66481789185747,-42.10831078892018
2011,24,393.26795789837735,81.78809868117766,51,30.0,2.706094818902874,1.6474807096323858,40.46174311381909,-7.949004624781135,133.66475349351705,-42.10831078892018
2011,25,336.5816799990025,83.38565088362911,54,28.30188679245283,2.496147520809396,1.5750213313297252,40.706405930287914,-7.6650098252576,133.66456616233168,-42.10831078892018
2011,26,329.43411464280854,84.65713790877626,54,28.30188679245283,2.7532852225499056,1.5648847524838003,41.12100465466308,-7.810729654036416,133.6642646032437,-42.108471201040146
2011,27,293.0650046347751,85.05961162090497,55,27.77777777777778,2.383282292855674,1.5135127554810395,41.10245802156032,-7.823027363150299,133.66420997159702,-42.108557503194575
2011,28,303.09016600683714,85.37294597134681,54,28.30188679245283,2.6704434312563485,1.5275892758643226,40.91327671418789,-7.9054426848668395,133.66410777074594,-42.10863161420889
2011,29,314.98249526349196,83.22695368652076,54,28.30188679245283,2.4743468665515236,1.5450955678433733,40.32478372459064,-7.70965265846683,133.66441211762384,-42.108471201040146
2011,30,388.74671001469454,83.5580666913988,52,29.411764705882355,3.3732064800164117,1.6439226426744353,41.051297670512405,-7.791968020750513,133.66446537863712,-42.10855140749341
2011,31,313.1763872497689,87.83882382415207,51,30.0,2.8668406889293094,1.5442743121244114,41.89994933212585,-8.614268605017646,133.66405089925436,-42.108471201040146
2011,32,297.21543008772477,87.43789049601077,50,30.0,3.001235570521434,1.5208616915289785,43.104430732943996,-8.626444069121403,133.66427745495255,-42.10855140749341
